_question,_answer,service
问：什么是内联策略，我应在何时使用？,内联策略嵌入在特定 IAM 角色中并且是其固有的。如果您希望在策略与其应用的身份之间保持严格的一对一关系，请使用内联策略。例如，您可以授予管理权限以确保它们不附加到其他角色。有关更多信息，请参阅内联策略。,IAM
问：什么是基于资源的策略，我应在何时使用？,基于资源的策略是附加到资源的权限策略。例如，您可以将基于资源的策略附加到 Amazon S3 存储桶、Amazon SQS 队列、VPC 终端节点和 AWS Key Management Service 加密密钥。有关支持基于资源的策略的服务列表，请参阅使用 IAM 的 AWS 服务。使用基于资源的策略授予直接的跨账户访问权限。使用基于资源的策略，您可以定义谁有权访问资源以及他们可以使用该资源执行哪些操作。有关更多信息，请参阅基于身份的策略和基于资源的策略。,IAM
问：什么是基于角色的访问控制 (RBAC)？,RBAC 为您提供了一种根据人员工作职能（在 AWS 之外称为角色）分配权限的方法。IAM 通过定义具有与工作职能一致的权限的 IAM 角色来提供 RBAC。然后，您可以授予个人访问权限，以代入这些角色来执行特定的工作职能。借助 RBAC，您可以通过查看每个 IAM 角色及其附加权限来审计访问权限。有关更多信息，请参阅 ABAC 与传统 RBAC 模型的对比。,IAM
问：如何使用 RBAC 授予访问权限？,作为最佳实践，仅授予对执行每项任务所需的特定服务操作和资源的访问权限。这称为授予最低权限。员工添加新资源时，您必须更新策略以允许访问这些资源。,IAM
问：什么是基于属性的访问控制 (ABAC)？,ABAC 是一种授权策略，它根据属性定义权限。在 AWS 中，这些属性称为标签，您可以在 AWS 资源、IAM 角色和角色会话中进行定义。使用 ABAC，您可以根据标签的值定义一组权限。您可以通过要求角色或会话上的标签与资源上的标签匹配来授予对特定资源的精细权限。例如，您可以制定策略，授予开发人员对标记为“开发人员”职位的资源的访问权限。 ABAC 通过在使用特定标签创建资源时授予资源权限，在快速增长的环境中很有帮助。有关更多信息，请参阅适用于 AWS 的基于属性的访问控制。,IAM
问：如何使用 ABAC 授予访问权限？,要使用 ABAC 授予访问权限，请先定义要用于访问控制的标签键和值。然后，确保您的 IAM 角色具有适当的标签键和值。如果多个身份使用此角色，您还可以定义会话标签键和值。接下来，确保您的资源具有适当的标签键和值。您还可以要求用户使用适当的标签创建资源，并限制访问以进行修改。标签就位后，定义一个策略，授予对特定操作和资源类型的访问权限，但前提是角色或会话标签与资源标签匹配。有关演示如何在 AWS 中使用 ABAC 的详细教程，请参阅 IAM 教程：根据标签定义访问 AWS 资源的权限。,IAM
问：如何使用 IAM 限制访问权限？,使用 AWS Identity and Access Management (IAM)，默认情况下所有访问都会遭到拒绝，并且需要一个授予访问权限的策略。大规模管理权限时，您可能希望实施 权限防护机制并限制跨帐户访问。要限制访问，请在任何策略中指定 Deny（拒绝）语句。如果 Deny（拒绝）语句适用于访问请求，它总是优先于 Allow（允许）语句。例如，如果您允许访问 AWS 中的所有操作但拒绝访问 IAM，则对 IAM 的任何请求都会遭到拒绝。您可以在任何类型的策略中包含 Deny（拒绝）语句，包括 AWS Organizations 的基于身份的策略、基于资源的策略和服务控制策略。有关更多信息，请参阅 使用 AWS Identity and Access Management 控制访问。,IAM
问：什么是 AWS Organizations 服务控制策略 (SCP)，我应在何时使用？,SCP 类似于 IAM 策略并使用几乎相同的语法。但是，SCP 不授予权限。相反，SCP 允许或拒绝拥有 Organizations 成员账户的各个 AWS 账户或企业单位内的账户组对 AWS 服务进行访问。来自 SCP 的指定操作会影响所有 IAM 用户和角色，包括成员账户的根用户。有关更多信息，请参阅 策略评估逻辑,IAM
问：如何获得最低权限？,开始授予权限时，您可以在探索和试验时从更广泛的权限开始。随着您的使用案例的成熟，AWS 建议您优化权限以仅授予以实现最低权限为目标所需的权限。AWS 提供了多种工具来帮助您优化权限。您可以从 AWS 托管式策略开始，这些策略由 AWS 创建和管理，并包含常见使用案例的权限。在您优化您的权限时，请在客户托管式策略中定义特定权限。为帮助您确定所需的特定权限，请使用 AWS Identity and Access Management (IAM) Access Analyzer、查看 AWS CloudTrail 日志并检查上次访问信息。您还可以使用 IAM 策略模拟器 对策略进行测试和故障排除。,IAM
问：什么是 IAM Access Analyzer？,实现最低权限是一个连续的循环，会随着您需求的发展授予正确的精细权限。IAM Access Analyzer 可帮助您在此周期的每个步骤简化权限管理。使用 IAM Access Analyzer 的策略生成会根据在您的日志中捕获的访问活动，生成精细策略。这意味着在构建和运行应用程序后，您可以生成仅授予操作应用程序所需权限的策略。使用 IAM Access Analyzer 进行策略验证使用 100 多项策略检查来指导您制定和验证安全和功能性策略。您可以在创建新策略或验证现有策略时，使用这些检查。公共和跨账户检查结果结合 IAM Access Analyzer 可帮助您验证和优化您的资源策略允许的从 AWS 组织或账户之外进行访问的权限。有关更多信息，请参阅使用 IAM Access Analyzer。,IAM
问：如何删除未使用的权限？,您的 AWS 账户可能具有不再需要的 IAM 用户、角色和权限。我们建议您删除它们以实现最低权限访问。对于 IAM 用户，您可以查看密码和访问密钥上次使用的信息。对于角色，您可以查看角色上次使用的信息。此信息可通过 IAM 控制台、API 和 SDK 获得。上次使用的信息可帮助您识别不再使用且可以安全删除的用户和角色。您还可以通过查看服务和上次访问的信息来确定未使用的权限来优化权限。有关更多信息，请参阅使用上次访问的信息优化 AWS 中的权限。,IAM
问：什么是 IAM 策略模拟器，我应在何时使用？,IAM 策略模拟器会评估您选择的策略并确定您指定的每个操作的有效权限。使用策略模拟器对基于身份和基于资源的策略、IAM 权限边界和 SCP 进行测试和故障排除。有关更多信息，请参阅使用 IAM 策略模拟器测试 IAM 策略,IAM
